CityID;CityName;StateProvinceID;Latitude;Longitude;LatestRecordedPopulation
1;Aaronsburg;39;40,8997903;-77,4533235;613
3;Abanda;1;33,100954;-85,5296753;192
4;Abbeville;42;34,1781719;-82,3790148;5237
5;Abbeville;11;31,9921223;-83,3068243;2908
6;Abbeville;1;31,5718352;-85,2504893;2688
7;Abbeville;19;29,9746502;-92,1342921;12257
8;Abbeville;25;34,5031591;-89,5031368;419
9;Abbotsford;52;44,946356;-90,315969;2310
10;Abbott;45;31,8848809;-97,0733361;356
11;Abbott;4;35,0734293;-94,1938205;356
12;Abbott;32;36,3055851;-104,2588701;NULL
13;Abbott;49;37,4292967;-80,1394911;356
14;Abbott;51;38,9217656;-80,3214735;NULL
15;Abbottsburg;34;34,517114;-78,7250179;NULL
16;Abbottstown;39;39,8864869;-76,9847013;1011
17;Abbyville;17;37,9708468;-98,2042299;87
18;Abell;45;35,3933811;-101,458781;NULL
19;Abercrombie;35;46,4477384;-96,7303557;263
20;Aberdeen;43;45,4646985;-98,4864829;26091
21;Aberdeen;21;39,5095556;-76,1641197;14959
22;Aberdeen;50;46,9753708;-123,8157218;16896
23;Aberdeen;13;42,9440784;-112,8383265;1994
24;Aberdeen;34;35,131547;-79,4294789;6350
25;Aberdeen;25;33,8251139;-88,5436553;5612
26;Aberdeen;36;38,6556296;-83,7610323;1638
27;Aberdeen;18;37,2539361;-86,6816547;NULL
28;Aberfoil;1;32,0704299;-85,6877257;NULL
29;Abernant;1;33,2903926;-87,198053;NULL
30;Abernathy;45;33,8323038;-101,8429491;2805
31;Abeytas;32;34,4675637;-106,8114154;56
32;Abie;28;41,3341756;-96,9489211;69
33;Abilene;45;32,4487364;-99,7331439;117063
34;Abilene;17;38,9172216;-97,2139094;6844
35;Abingdon;14;40,8044833;-90,4017954;3319
36;Abingdon;49;36,7098335;-81,9773482;8191
37;Abingdon;16;41,0822387;-92,1390672;NULL
38;Abingdon;21;39,4623305;-76,2791236;NULL
39;Abington;39;40,1206656;-75,1179512;NULL
40;Abington;22;42,1048228;-70,9453218;15985
41;Abiquiu;32;36,207241;-106,3186397;231
42;Abita Springs;19;30,4785257;-90,0375755;2365
43;Abo;32;34,4558977;-106,3330712;NULL
44;Aboite;15;41,0008805;-85,3180293;NULL
45;Abraham;46;39,3966197;-112,7180077;NULL
46;Abram;45;26,1997957;-98,4111287;2067
47;Abrams;52;44,7791593;-88,0598261;340
48;Absarokee;27;45,5204982;-109,4429444;1150
49;Absecon;31;39,4284503;-74,4957076;8411
50;Academy;43;43,4563876;-99,0798134;NULL
51;Acampo;5;38,1746398;-121,2785588;341
52;Accident;21;39,628696;-79,319759;325
53;Accokeek;21;38,6676168;-77,0283092;10573
54;Accomac;49;37,7195742;-75,6654845;519
55;Accord;33;41,7856489;-74,2290366;562
56;Accord;22;42,1745451;-70,8836552;NULL
57;Ace;45;30,5363152;-94,8243744;NULL
58;Aceitunas;40;18,4432783;-67,0649026;1436
59;Acequia;13;42,6679642;-113,5969537;124
60;Achille;37;33,8373817006;-96,4109935885;492
61;Achilles;49;37,2801422;-76,4402257;NULL
62;Ackerly;45;32,5264993;-101,71597;220
63;Ackerman;25;33,3101243;-89,1728434;1510
64;Ackley;16;42,5541451;-93,0532553;1589
65;Ackworth;16;41,3669373;-93,4727131;83
66;Acme;50;48,7170574;-122,2051584;246
67;Acme;45;34,3167412;-99,8239861;NULL
68;Acme;53;44,9105275;-106,9850706;NULL
69;Acme;19;31,2857351;-91,8204007;NULL
70;Acme;32;33,5923153;-104,3285785;NULL
71;Acoma;29;37,5483023;-114,1724807;NULL
72;Acomita;32;35,0553199;-107,5717171;NULL
73;Acorn;49;38,0192976;-76,6491233;NULL
74;Acra;33;42,3109186;-74,0554126;NULL
75;Acree;11;31,5554539;-83,9960153;NULL
76;Acton;20;43,5342468;-70,9097847;NULL
77;Acton;27;45,9305083;-108,6806978;NULL
78;Acton;22;42,4850931;-71,43284;NULL
79;Acton;5;34,469994;-118,1967418;7596
80;Acushnet;22;41,6806593;-70,907816;3073
81;Acworth;30;43,2178539;-72,2920317;NULL
82;Acworth;11;34,0659329;-84,6768796;20425
83;Acy;19;30,2188079;-90,8203734;NULL
84;Ada;19;32,5459856;-93,1404423;NULL
85;Ada;52;43,8769382;-87,8956469;NULL
86;Ada;17;39,1513917;-97,8892088;100
87;Ada;36;40,7694969;-83,8227149;5952
88;Ada;37;34,7784784006;-96,7021280885;16810
89;Ada;24;47,299689;-96,5153463;1707
90;Adair;16;41,5003898;-94,6434132;781
91;Adair;14;40,4189309;-90,4967942;210
92;Adair;37;36,4407049006;-95,2951414885;790
93;Adair Village;38;44,6706763;-123,2178759;840
94;Adairsville;11;34,3687021;-84,9341093;4648
95;Adairville;18;36,6675425;-86,8519417;852
96;Adak;2;51,88;-176,6580556;326
97;Adams;37;36,7603623006;-101,100889188;NULL
98;Adams;15;39,3825496;-85,559973;NULL
99;Adams;18;38,0545335;-82,7076584;NULL
100;Adams;25;32,1598736;-90,5606536;NULL
101;Adams;44;36,5822667;-87,0655564;633
102;Adams;28;40,4594441;-96,5100171;573
103;Adams;38;45,767354;-118,5624734;350
104;Adams;24;43,5652435;-92,7193503;787
105;Adams;33;43,8092321;-76,0240892;1775
106;Adams;22;42,6242495;-73,117603;5515
107;Adams;35;48,4213852;-98,0789893;127
108;Adams;52;43,956082;-89,8181818;1967
109;Adams Center;33;43,8600635;-76,0054785;1568
110;Adams City;6;39,8266528;-104,9288672;NULL
111;Adamsburg;39;40,3117361;-79,6561538;172
112;Adamstown;39;40,2412035;-76,0563303;1789
113;Adamstown;21;39,3109356;-77,4747088;2372
114;Adamsville;46;38,2583031;-112,7938352;NULL
115;Adamsville;45;31,3012767;-98,1689206;NULL
116;Adamsville;39;41,5111646;-80,3697888;67
117;Adamsville;44;35,2359146;-88,3905965;2207
118;Adamsville;36;40,0697925;-81,8823542;114
119;Adamsville;1;33,6009389;-86,9561059;4522
120;Adario;36;40,9345;-82,4501677;NULL
121;Addicks;45;29,7824508;-95,6424457;NULL
122;Addie;34;35,4059341;-83,1598661;NULL
123;Addieville;14;38,391439;-89,4900881;252
124;Addington;37;34,2484825006;-97,9907627885;114
125;Addis;19;30,3538043;-91,2653865;3593
126;Addison;1;34,2023243;-87,1814012;758
127;Addison;23;41,9864341;-84,3471684;605
128;Addison;14;41,931696;-87,9889556;36942
129;Addison;33;42,1028514;-77,2335879;1763
130;Addison;39;39,7473003;-79,3392013;207
131;Addison;51;38,4781934;-80,4082166;776
132;Addison;45;32,96179;-96,8291685;13056
